league_id,season,stratum,week,roster_id,active_capacity,baseline_size,qb_pool,rb_pool,budget8_feasible,budget9_feasible
969999751733186560,2023,1QB,12,3,24,24,0,3,False,False
969999751733186560,2023,1QB,12,4,24,17,1,7,False,False
969999751733186560,2023,1QB,12,5,24,20,0,4,False,False
969999751733186560,2023,1QB,12,6,24,20,2,2,False,False
969999751733186560,2023,1QB,12,7,24,21,3,3,False,False
969999751733186560,2023,1QB,12,8,24,21,2,2,False,False
969999751733186560,2023,1QB,12,9,24,26,2,2,False,False
969999751733186560,2023,1QB,12,10,24,24,4,3,False,False
969999751733186560,2023,1QB,12,11,24,24,0,4,False,False
969999751733186560,2023,1QB,12,12,24,19,2,2,False,False
969999751733186560,2023,1QB,13,1,24,21,0,5,False,False
969999751733186560,2023,1QB,13,2,24,18,1,2,False,False
969999751733186560,2023,1QB,13,3,24,23,0,5,False,False
969999751733186560,2023,1QB,13,4,24,17,1,7,False,False
969999751733186560,2023,1QB,13,5,24,19,0,4,False,False
969999751733186560,2023,1QB,13,6,24,22,1,2,False,False
969999751733186560,2023,1QB,13,7,24,19,4,3,False,False
969999751733186560,2023,1QB,13,8,24,20,2,2,False,False
969999751733186560,2023,1QB,13,9,24,23,4,2,False,False
969999751733186560,2023,1QB,13,10,24,18,7,4,False,False
969999751733186560,2023,1QB,13,11,24,24,0,5,False,False
969999751733186560,2023,1QB,13,12,24,19,1,3,False,False
969999751733186560,2023,1QB,14,1,24,21,0,6,False,False
969999751733186560,2023,1QB,14,2,24,18,1,2,False,False
969999751733186560,2023,1QB,14,3,24,23,1,4,False,False
969999751733186560,2023,1QB,14,4,24,17,1,7,False,False
969999751733186560,2023,1QB,14,5,24,21,0,4,False,False
969999751733186560,2023,1QB,14,6,24,21,1,3,False,False
969999751733186560,2023,1QB,14,7,24,20,3,3,False,False
969999751733186560,2023,1QB,14,8,24,21,2,2,False,False
969999751733186560,2023,1QB,14,9,24,22,4,3,False,False
969999751733186560,2023,1QB,14,10,24,19,6,4,False,False
969999751733186560,2023,1QB,14,11,24,23,1,6,False,False
969999751733186560,2023,1QB,14,12,24,19,1,3,False,False
969999751733186560,2023,1QB,15,1,24,20,0,6,False,False
969999751733186560,2023,1QB,15,2,24,17,0,3,False,False
