season,roster_tier,mean_worp,median_worp,min_worp,max_worp,n
2021,6,0.13728236914062483,0.14294894531249985,0.0833072499999998,0.1716523906250001,12
2021,7,0.018493016276041534,0.015590957031250002,-0.0307666171875,0.0676409531249999,12
2021,8,-0.05791583203124997,-0.061076085937499996,-0.067169765625,-0.0321410624999999,12
2021,9,-0.0782347890625,-0.07810935156249996,-0.0887966171875,-0.067169765625,12
2021,10,-0.10106077994791669,-0.10152479296875015,-0.115584265625,-0.0887966171875,12
2021,11,-0.14017158138020838,-0.14353574609375006,-0.1649897890625,-0.1177609765625001,12
2021,12,-0.18716807161458335,-0.1834767500000001,-0.2164418203124999,-0.166086875,12
2021,13,-0.22983347395833334,-0.23013317578124998,-0.240595703125,-0.217195640625,12
2021,14,-0.2674590970052083,-0.2625735859375,-0.2975189296875,-0.2433784921875,12
2021,15,-0.3233694889322917,-0.32452476953125003,-0.3432919218750002,-0.3025141406250001,12
2021,16,-0.3805973151041668,-0.3688996015625001,-0.4187266875000002,-0.3566036796875002,12
2021,17,-0.469104091796875,-0.4635983906250001,-0.5269403515625,-0.4213452890624999,12
2021,18,-0.5538700696614585,-0.5554419921875001,-0.5733795703125002,-0.5302496484375002,12
2021,19,-0.6139359036458334,-0.6202348046875001,-0.6414755,-0.5811955234375,12
2021,20,-0.7283168437500002,-0.7332369609375002,-0.7769800156250003,-0.6415250781250001,12
2021,21,-0.9319963652343751,-0.8812555898437502,-1.2842721171875002,-0.7943264453125001,12
2021,22,-1.3323025078125004,-1.3236768359375004,-1.3892340390625002,-1.2926223203125002,4
2022,1,1.9401343626302083,1.88853051171875,1.3877228359375002,2.7143293515625,12
2022,2,1.1664475794270837,1.12301607421875,1.0118980234375003,1.377412703125,12
2022,3,0.8016189485677083,0.8255881601562498,0.6100050703125,0.9605065781250002,12
2022,4,0.48994744270833346,0.4853567265625002,0.3731953515625004,0.598313203125,12
2022,5,0.2707724967447917,0.28239908593750007,0.1744440468749999,0.3503141484375,12
2022,6,0.09449897265625,0.0944619140624999,0.023077921875,0.16770528125,12
2022,7,-0.018159526692708216,-0.00868241796874995,-0.0451719765624999,0.0120890781249999,12
2022,8,-0.06699415429687489,-0.06615129296874994,-0.0818784921874999,-0.0491130937499999,12
2022,9,-0.0935008222656249,-0.09034524218749976,-0.1102681328124999,-0.0818784921874999,12
2022,10,-0.13722886067708326,-0.13855887890624985,-0.1518324296874999,-0.1172268046875,12
2022,11,-0.18552551367187495,-0.1829533203125,-0.2210052968750001,-0.1566151718749999,12
2022,12,-0.24477376236979162,-0.2432345507812499,-0.2625185859374998,-0.2216703046875001,12
2022,13,-0.27701263606770826,-0.27732773828125,-0.2876075703124999,-0.2628753046875,12
2022,14,-0.306937390625,-0.3041972734374999,-0.324865375,-0.290941765625,12
2022,15,-0.352696208984375,-0.35648275390624984,-0.3800996328125,-0.32680946875,12
2022,16,-0.40239359440104155,-0.3991609374999998,-0.4272349765624998,-0.3817068984375,12
2022,17,-0.45832483658854156,-0.467693265625,-0.4950311640624999,-0.4272540859374999,12
2022,18,-0.5956072311197915,-0.58874433203125,-0.6972923749999997,-0.5034514296874997,12
2022,19,-0.7842002753906249,-0.7784152070312499,-0.83602253125,-0.7003000859375,12
2022,20,-1.1302915561079545,-1.1573695625,-1.425161890625,-0.8579884375,11
2023,1,2.1245582747395835,1.9191700312500002,1.63017175,3.2670137265625,12
2023,2,1.3831232356770833,1.35832193359375,1.1917039609375002,1.5652359609375002,12
2023,3,1.0472006217447916,1.07132994921875,0.928194109375,1.1668637578125,12
2023,4,0.6498923971354166,0.6470592187499999,0.48097753125,0.9159156796875,12
2023,5,0.3092292805989583,0.29453296875,0.2293733593749998,0.4194157812499999,12
2023,6,0.1469197096354165,0.14430178906249996,0.0768727187499997,0.2221804218749996,12
2023,7,-0.006738256510416707,-0.00211049999999995,-0.0638959609375,0.0392223984374999,12
2023,8,-0.0815616295572916,-0.08568725781250006,-0.090069140625,-0.0670411171874998,12
2023,9,-0.11712509830729163,-0.11415646874999996,-0.1589531328125,-0.090069140625,12
2023,10,-0.179595859375,-0.17598578515625005,-0.19931346875,-0.1611404453125,12
2023,11,-0.2328830501302083,-0.227754703125,-0.2661238749999999,-0.1993401328124999,12
2023,12,-0.29309451953125004,-0.2916452773437501,-0.3152682343749999,-0.2677686015625001,12
