season,week,player_id,player_name,position,weekly_worp,fantasy_points,capturability,reason,latest_drop_week,latest_drop_created_utc,latest_drop_transaction_id,player_name_worp,position_worp,weekly_worp_worp,fantasy_points_worp,carries,targets,receptions,pass_attempts,rush_yards,rec_yards,pass_yards,rush_tds,rec_tds,pass_tds,total_tds,scrimmage_yards,volume,volume_band,zero_td,has_td,low_volume,mid_volume,high_volume
2023,4,10212,Josh Whyle,TE,0.0468634999999999,13.6,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Josh Whyle,TE,0.0468634999999999,13.6,0.0,2.0,2.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,1.0,26.0,2.0,LOW,False,True,True,False,False
2023,4,5121,Braxton Berrios,WR,0.0911111171874999,18.6,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Braxton Berrios,WR,0.0911111171874999,18.6,1.0,6.0,6.0,0.0,11.0,43.0,0.0,0.0,1.0,0.0,1.0,54.0,6.0,MID,False,True,False,True,False
2023,4,7496,Nick Westbrook-Ikhine,WR,0.0732034140624999,16.6,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Nick Westbrook-Ikhine,WR,0.0732034140624999,16.6,0.0,6.0,5.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,1.0,51.0,6.0,MID,False,True,False,True,False
2023,4,8489,Drew Ogletree,TE,0.0929424843749999,18.8,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Drew Ogletree,TE,0.0929424843749999,18.8,0.0,4.0,3.0,0.0,0.0,48.0,0.0,0.0,1.0,0.0,1.0,48.0,4.0,MID,False,True,False,True,False
2023,4,10234,Derius Davis,WR,0.0215736718749999,10.8,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Derius Davis,WR,0.0215736718749999,10.8,3.0,2.0,2.0,0.0,51.0,16.0,0.0,0.0,0.0,0.0,0.0,67.0,2.0,LOW,True,False,True,False,False
2023,5,827,Tyrod Taylor,QB,0.0026343203125,9.94,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Tyrod Taylor,QB,0.0026343203125,9.94,3.0,0.0,0.0,12.0,14.0,0.0,86.0,0.0,0.0,0.0,0.0,14.0,15.0,LOW,True,False,True,False,False
2023,5,2325,Nelson Agholor,WR,0.036920484375,11.9,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Nelson Agholor,WR,0.036920484375,11.9,0.0,5.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,5.0,MID,True,False,False,True,False
2023,5,2545,Geoff Swaim,TE,0.0023798515624999,8.2,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Geoff Swaim,TE,0.0023798515624999,8.2,0.0,2.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,LOW,True,False,True,False,False
2023,5,5374,Justin Watson,WR,0.0094767499999999,8.600000000000001,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Justin Watson,WR,0.0094767499999999,8.600000000000001,0.0,3.0,2.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,LOW,True,False,True,False,False
2023,5,6234,Deonte Harty,WR,0.0227196406249999,10.2,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Deonte Harty,WR,0.0227196406249999,10.2,0.0,2.0,2.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,2.0,LOW,True,False,True,False,False
