start_rank,end_rank,rank_gap,start_mean_worp,end_mean_worp,worp_cost,worp_cost_per_rank
20,32,12,1.028803903645833,0.7473610078124998,0.28144289583333315,0.023453574652777764
20,38,18,1.028803903645833,0.5029127057291665,0.5258911979166665,0.02921617766203703
21,24,3,0.9863062786458333,0.9448821380208333,0.041424140624999994,0.013808046874999999
21,27,6,0.9863062786458333,0.8516612838541665,0.1346449947916668,0.0224408324652778
21,33,12,0.9863062786458333,0.7338647239583332,0.25244155468750007,0.021036796223958338
21,39,18,0.9863062786458333,0.4953108359375,0.4909954427083333,0.027277524594907405
22,25,3,0.976778489583333,0.9310704479166665,0.04570804166666653,0.015236013888888844
22,28,6,0.976778489583333,0.8316986067708331,0.14507988281249995,0.02417998046874999
22,34,12,0.976778489583333,0.6717888072916667,0.30498968229166634,0.025415806857638862
22,40,18,0.976778489583333,0.4836781848958332,0.4931003046874998,0.02739446137152777
23,26,3,0.9493086796874999,0.8950203151041665,0.054288364583333415,0.018096121527777804
23,29,6,0.9493086796874999,0.8203988333333333,0.12890984635416658,0.021484974392361095
23,35,12,0.9493086796874999,0.6373831015624999,0.311925578125,0.025993798177083333
23,41,18,0.9493086796874999,0.42156036458333307,0.5277483151041669,0.029319350839120382
24,27,3,0.9448821380208333,0.8516612838541665,0.09322085416666681,0.031073618055555603
24,30,6,0.9448821380208333,0.8001455052083332,0.14473663281250015,0.024122772135416692
24,36,12,0.9448821380208333,0.5957041588541664,0.34917797916666693,0.029098164930555576
24,42,18,0.9448821380208333,0.4047659010416666,0.5401162369791668,0.03000645760995371
25,28,3,0.9310704479166665,0.8316986067708331,0.09937184114583342,0.03312394704861114
25,31,6,0.9310704479166665,0.7890374531249998,0.14203299479166664,0.023672165798611106
25,37,12,0.9310704479166665,0.5263850651041665,0.4046853828125,0.033723781901041666
25,43,18,0.9310704479166665,0.3550096276041665,0.5760608203124999,0.03200337890625
26,29,3,0.8950203151041665,0.8203988333333333,0.07462148177083316,0.024873827256944387
26,32,6,0.8950203151041665,0.7473610078124998,0.14765930729166665,0.02460988454861111
26,38,12,0.8950203151041665,0.5029127057291665,0.392107609375,0.03267563411458333
26,44,18,0.8950203151041665,0.31042541406249985,0.5845949010416667,0.03247749450231482
27,30,3,0.8516612838541665,0.8001455052083332,0.05151577864583334,0.017171926215277782
27,33,6,0.8516612838541665,0.7338647239583332,0.11779655989583326,0.019632759982638876
27,39,12,0.8516612838541665,0.4953108359375,0.3563504479166665,0.029695870659722207
27,45,18,0.8516612838541665,0.28161530208333324,0.5700459817708332,0.031669221209490735
28,31,3,0.8316986067708331,0.7890374531249998,0.04266115364583323,0.014220384548611076
28,34,6,0.8316986067708331,0.6717888072916667,0.1599097994791664,0.026651633246527733
28,40,12,0.8316986067708331,0.4836781848958332,0.3480204218749999,0.029001701822916656
28,46,18,0.8316986067708331,0.2543830156249998,0.5773155911458332,0.03207308839699073
29,32,3,0.8203988333333333,0.7473610078124998,0.07303782552083349,0.02434594184027783
29,35,6,0.8203988333333333,0.6373831015624999,0.1830157317708334,0.03050262196180557
29,41,12,0.8203988333333333,0.42156036458333307,0.39883846875000023,0.03323653906250002
29,47,18,0.8203988333333333,0.2309024817708334,0.5894963515624999,0.03274979730902777
30,33,3,0.8001455052083332,0.7338647239583332,0.06628078124999992,0.022093593749999973
30,36,6,0.8001455052083332,0.5957041588541664,0.20444134635416678,0.03407355772569446
30,42,12,0.8001455052083332,0.4047659010416666,0.39537960416666657,0.032948300347222216
30,48,18,0.8001455052083332,0.20416041406249988,0.5959850911458333,0.03311028284143518
31,34,3,0.7890374531249998,0.6717888072916667,0.11724864583333316,0.03908288194444439
31,37,6,0.7890374531249998,0.5263850651041665,0.26265238802083335,0.04377539800347222
31,43,12,0.7890374531249998,0.3550096276041665,0.43402782552083335,0.03616898546006945
31,49,18,0.7890374531249998,0.19467057291666653,0.5943668802083333,0.033020382233796296
32,35,3,0.7473610078124998,0.6373831015624999,0.10997790624999992,0.03665930208333331
32,38,6,0.7473610078124998,0.5029127057291665,0.24444830208333335,0.040741383680555555
32,44,12,0.7473610078124998,0.31042541406249985,0.43693559374999996,0.036411299479166666
32,50,18,0.7473610078124998,0.1738351796874998,0.573525828125,0.031862546006944444
33,36,3,0.7338647239583332,0.5957041588541664,0.13816056510416685,0.046053521701388954
33,39,6,0.7338647239583332,0.4953108359375,0.23855388802083322,0.039758981336805534
