season,week,player_id,player_name,position,weekly_worp,fantasy_points,observed_state,capturability,reason,evidence_tx_week,evidence_tx_type,evidence_tx_id,evidence_created_utc
2024,14,10216,Kenny McIntosh,RB,0.0296857109375,9.4,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,14,8220,Sincere McCormick,RB,0.0880274921875,15.9,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,14.0,waiver,1172351216651878400,2024-12-10T23:20:20.583000+00:00
2024,14,8583,Stone Smartt,TE,0.0740741015625,14.4,FREE,AMBIGUOUS,TIMING_UNRESOLVED,15.0,waiver,1172598499607773184,2024-12-11T15:42:57.434000+00:00
2024,14,6001,Drew Sample,TE,0.0013518515625,6.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,15,11433,Nate Adkins,TE,0.0138274453125,9.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,15,4351,Tim Patrick,WR,0.04175209375,13.5,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,15.0,waiver,1174908771700654080,2024-12-18T00:43:09.223000+00:00
2024,15,5970,Greg Dortch,WR,0.0174215703125,10.8,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,14.0,free_agent,1170472354586152960,2024-12-05T18:54:24.959000+00:00
2024,15,5032,Jordan Akins,TE,0.0272471796875,11.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,15,6869,Adam Trautman,TE,0.036236546875,12.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,15,10212,Josh Whyle,TE,0.1151177734375,20.7,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,16,10234,Derius Davis,WR,0.015685109375,11.499999999999998,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2024,16,2410,Jamison Crowder,WR,0.0552905859374999,15.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
