season,week,player_id,player_name,position,roster_state,fantasy_points,weekly_worp,volume,volume_metric,carries,targets,receptions,pass_attempts,scrimmage_yards,pass_yards,total_tds
2025,7,7525,DeVonta Smith,WR,BENCHED,39.3,0.2593217031250001,11.0,targets,0.0,11.0,9.0,0.0,183.0,0.0,1.0
2023,10,2197,Brandin Cooks,WR,BENCHED,35.8,0.2565391328125,10.0,targets,0.0,10.0,9.0,0.0,173.0,0.0,1.0
2023,9,9502,Tank Dell,WR,BENCHED,33.0,0.254191140625,11.0,targets,2.0,11.0,6.0,0.0,116.0,0.0,2.0
2025,13,11625,Adonai Mitchell,WR,BENCHED,29.700000000000003,0.2513712734375,12.0,targets,0.0,12.0,8.0,0.0,102.0,0.0,1.0
2025,14,11783,Ryan Flournoy,WR,BENCHED,32.0,0.2455825156249999,13.0,targets,0.0,13.0,9.0,0.0,115.0,0.0,1.0
2023,9,4234,Noah Brown,WR,FREE,32.8,0.252336953125,6.0,targets,0.0,6.0,6.0,0.0,153.0,0.0,1.0
2023,1,4454,Kendrick Bourne,WR,FREE,24.9,0.1968073593750001,11.0,targets,0.0,11.0,6.0,0.0,64.0,0.0,2.0
2024,10,7595,Tylan Wallace,WR,FREE,25.0,0.1817495546874999,3.0,targets,0.0,3.0,3.0,0.0,115.0,0.0,1.0
2023,17,8204,Bo Melton,WR,FREE,26.0,0.1788746874999999,9.0,targets,0.0,9.0,6.0,0.0,105.0,0.0,1.0
2025,5,11783,Ryan Flournoy,WR,FREE,24.8,0.16727221875,9.0,targets,2.0,9.0,6.0,0.0,124.0,0.0,0.0
2023,18,6927,Quez Watkins,WR,FREE,24.8,0.160029296875,11.0,targets,0.0,11.0,8.0,0.0,93.0,0.0,1.0
2023,2,8756,Brandon Johnson,WR,FREE,23.6,0.15277165625,3.0,targets,0.0,3.0,2.0,0.0,66.0,0.0,2.0
2024,12,4274,David Moore,WR,FREE,22.6,0.151760046875,10.0,targets,0.0,10.0,6.0,0.0,81.0,0.0,1.0
2024,14,4351,Tim Patrick,WR,FREE,23.8,0.149995171875,7.0,targets,0.0,7.0,6.0,0.0,43.0,0.0,2.0
2023,8,2410,Jamison Crowder,WR,FREE,24.5,0.1393185859375,7.0,targets,0.0,7.0,7.0,0.0,95.0,0.0,1.0
2025,9,11604,Brock Bowers,TE,STARTED,60.50000000000001,0.4520667265624999,13.0,targets,1.0,13.0,12.0,0.0,133.0,0.0,3.0
2023,7,1466,Travis Kelce,TE,STARTED,57.900000000000006,0.4508477890624999,13.0,targets,0.0,13.0,12.0,0.0,179.0,0.0,1.0
2023,14,4066,Evan Engram,TE,STARTED,48.5,0.443627046875,12.0,targets,0.0,12.0,11.0,0.0,95.0,0.0,2.0
2025,15,7553,Kyle Pitts,TE,STARTED,62.6,0.4433890625000001,12.0,targets,0.0,12.0,11.0,0.0,166.0,0.0,3.0
2025,15,8130,Trey McBride,TE,STARTED,56.4,0.404300421875,13.0,targets,0.0,13.0,12.0,0.0,134.0,0.0,2.0
2024,11,11604,Brock Bowers,TE,STARTED,54.50000000000001,0.3985121874999999,16.0,targets,1.0,16.0,13.0,0.0,123.0,0.0,1.0
2024,13,11604,Brock Bowers,TE,STARTED,46.4,0.3946513593749999,14.0,targets,1.0,14.0,10.0,0.0,142.0,0.0,1.0
2023,6,1466,Travis Kelce,TE,STARTED,38.4,0.3655633593749999,9.0,targets,0.0,9.0,9.0,0.0,124.0,0.0,0.0
2023,10,5844,T.J. Hockenson,TE,STARTED,48.4,0.3625481328125,15.0,targets,0.0,15.0,11.0,0.0,134.0,0.0,1.0
2024,12,8130,Trey McBride,TE,STARTED,46.3,0.3531869296874999,15.0,targets,0.0,15.0,12.0,0.0,133.0,0.0,0.0
2024,11,4381,Taysom Hill,TE,BENCHED,58.92,0.4265958749999999,10.0,targets,7.0,10.0,8.0,2.0,188.0,18.0,3.0
2023,9,5001,Dalton Schultz,TE,BENCHED,44.0,0.3769124609374999,11.0,targets,0.0,11.0,10.0,0.0,130.0,0.0,1.0
2024,1,8131,Isaiah Likely,TE,BENCHED,42.1,0.3512411718750001,12.0,targets,0.0,12.0,9.0,0.0,111.0,0.0,1.0
2025,3,3214,Hunter Henry,TE,BENCHED,41.0,0.345065328125,11.0,targets,0.0,11.0,8.0,0.0,90.0,0.0,2.0
2025,13,1339,Zach Ertz,TE,BENCHED,37.6,0.3292761562500001,13.0,targets,0.0,13.0,10.0,0.0,106.0,0.0,0.0
2025,9,12517,Colston Loveland,TE,BENCHED,41.8,0.3223626328125,7.0,targets,0.0,7.0,6.0,0.0,118.0,0.0,2.0
2024,3,6826,Cole Kmet,TE,BENCHED,41.7,0.3085818671875001,11.0,targets,0.0,11.0,10.0,0.0,97.0,0.0,1.0
2025,18,12517,Colston Loveland,TE,BENCHED,38.1,0.3081243593749999,13.0,targets,0.0,13.0,10.0,0.0,91.0,0.0,1.0
2025,3,8110,Jake Ferguson,TE,BENCHED,36.2,0.2999076249999999,14.0,targets,0.0,14.0,13.0,0.0,82.0,0.0,0.0
2023,8,8130,Trey McBride,TE,BENCHED,39.5,0.2954765703125,14.0,targets,0.0,14.0,10.0,0.0,95.0,0.0,1.0
2025,18,3271,Tyler Higbee,TE,FREE,29.1,0.2203844140625001,6.0,targets,0.0,6.0,5.0,0.0,91.0,0.0,1.0
2024,10,5409,Tanner Hudson,TE,FREE,25.5,0.1902259531249999,7.0,targets,1.0,7.0,6.0,0.0,43.0,0.0,1.0
2024,8,6869,Adam Trautman,TE,FREE,25.5,0.1797930078125,4.0,targets,0.0,4.0,4.0,0.0,85.0,0.0,1.0
2024,9,5973,Josh Oliver,TE,FREE,24.8,0.1702788984375001,5.0,targets,0.0,5.0,5.0,0.0,58.0,0.0,1.0
2025,16,10231,Elijah Higgins,TE,FREE,27.1,0.163803625,8.0,targets,0.0,8.0,7.0,0.0,91.0,0.0,0.0
2023,14,10214,Davis Allen,TE,FREE,21.0,0.1609411796875,5.0,targets,0.0,5.0,4.0,0.0,50.0,0.0,1.0
2024,18,5032,Jordan Akins,TE,FREE,26.0,0.1608856953125001,8.0,targets,0.0,8.0,6.0,0.0,60.0,0.0,1.0
2023,11,5973,Josh Oliver,TE,FREE,20.7,0.1569348515624999,4.0,targets,0.0,4.0,4.0,0.0,47.0,0.0,1.0
2024,13,7694,Tommy Tremble,TE,FREE,21.7,0.14040375,8.0,targets,0.0,8.0,5.0,0.0,77.0,0.0,0.0
2023,13,6850,Harrison Bryant,TE,FREE,21.9,0.1397900859374999,5.0,targets,0.0,5.0,5.0,0.0,49.0,0.0,1.0
