pos_rank,seasons,mean_worp,median_worp,sd_worp
48,8,0.21403119824218747,0.23808412499999995,0.0647321334619139
49,8,0.19553492578124992,0.20621294921875002,0.05434943297121952
50,8,0.18055459960937492,0.19698096484374988,0.06369565317354252
51,8,0.15044773535156242,0.1666106132812497,0.05726759819505448
52,8,0.12678190136718748,0.12707385546874997,0.05221628701832661
53,8,0.10408036230468745,0.11545423828124995,0.06830369877596802
54,8,0.078000482421875,0.09323508203124997,0.07417860805919549
55,8,0.05850579199218759,0.07798798046875013,0.0874900684128797
56,8,0.045973719726562515,0.0712326796875,0.08569476824873265
57,8,0.029766345703124995,0.05742768359375011,0.0809941973945835
58,8,0.020609044921874965,0.030343808593749994,0.07796531219550105
59,8,0.005928921874999951,0.02093608984375006,0.07247238622896997
60,8,-0.010388067382812512,-0.0029071093749998833,0.07295831421405577
61,8,-0.02181275000000002,-0.0158423437500001,0.0742070657070752
62,8,-0.034494944335937645,-0.02695663281250016,0.06223596976078872
63,8,-0.04605184082031257,-0.05382437109374999,0.06195367376439797
64,8,-0.052038934570312535,-0.05792907812500009,0.06122319270681166
65,8,-0.0632164531250001,-0.061871523437500076,0.049774468212999114
66,8,-0.07426178417968757,-0.07109935156250016,0.040082253600669866
67,8,-0.08305114941406257,-0.07922170703125006,0.03998570272102127
68,8,-0.08763867285156252,-0.08125278515625003,0.04432431364162192
69,8,-0.09069878417968757,-0.08507794140625038,0.045184846648331785
70,8,-0.10145267675781255,-0.08834040234375015,0.04405268778692051
71,8,-0.10661396875000004,-0.08855541796875013,0.04498430899753588
72,8,-0.11275265039062499,-0.09738020312499993,0.04874934235497861
73,8,-0.118224501953125,-0.09748402734375003,0.04752441300451358
74,8,-0.12584870312500002,-0.11594277343750017,0.04719866296955451
75,8,-0.13337018261718755,-0.12487277343750017,0.052391193711505364
76,8,-0.13663522949218754,-0.12671694140625003,0.05728482623760379
77,8,-0.14095429199218754,-0.12903065234375,0.06386555422462224
78,8,-0.14649462695312504,-0.13281778125000024,0.06756178942890646
79,8,-0.1548796083984375,-0.14615782031249996,0.07214450605924394
80,8,-0.163479451171875,-0.1651286367187499,0.07114843878455165
81,8,-0.16865833007812503,-0.17103109375000014,0.07375653036288098
82,8,-0.18344079980468747,-0.18139759765625,0.08338880948514361
83,8,-0.18805265332031243,-0.18610288281249998,0.08331202351796804
84,8,-0.19299797265625,-0.19032378906250003,0.0826328609806503
85,8,-0.1965031962890625,-0.19241189843750003,0.08473285249472363
86,8,-0.20324740039062505,-0.1976170859375001,0.08716653729659693
87,8,-0.21420473144531252,-0.20275715625,0.08922175080951936
88,8,-0.21699840332031245,-0.20474614843749986,0.08813226302628936
89,8,-0.23100282324218752,-0.22664554296875009,0.09198129502876126
90,8,-0.24345048437499997,-0.230631265625,0.09088035553555011
91,8,-0.24919263085937501,-0.24690762890625012,0.08995639559641874
92,8,-0.255730302734375,-0.25224304296875,0.08803138316617448
93,8,-0.26334720019531255,-0.2638355468750001,0.09041839633572102
94,8,-0.26904221875000006,-0.2694200703125001,0.08962887553314978
95,8,-0.2735453857421876,-0.27151057031250014,0.09057431532464039
