pos_rank,seasons,mean_worp,median_worp,sd_worp
45,3,0.28161530208333324,0.3238855312499997,0.07367545128705659
46,3,0.2543830156249998,0.2645052343749999,0.0609857767724316
47,3,0.2309024817708334,0.2304499843750002,0.06040731406512272
48,3,0.20416041406249988,0.1818357656249999,0.07507160584406328
49,3,0.19467057291666653,0.1761714765624999,0.0652102476927498
50,3,0.1738351796874998,0.1441357499999999,0.07891122393874353
51,3,0.12602613541666643,0.1371415703125,0.05655939145182825
52,3,0.10429038802083324,0.1185024531250003,0.047185115713863544
53,3,0.09840520833333333,0.1114471796875,0.047947696416952734
54,3,0.0802969817708331,0.0989652578124997,0.0588851896095041
55,3,0.05583757552083337,0.0903137812500001,0.08985266077765436
56,3,0.03880276041666656,0.0789073593749999,0.07658466212182587
57,3,0.020070510416666704,0.0579929140625001,0.07837915361371933
58,3,0.011361109374999937,0.03449453125,0.07302634323300779
59,3,-0.008262338541666766,0.0242566484375,0.059403553472262643
60,3,-0.018146135416666903,0.0070490468749997,0.051043985882530174
61,3,-0.035886216145833434,-0.0142145000000001,0.04816896007033925
62,3,-0.04363427864583353,-0.0165679062500003,0.04706122393919861
63,3,-0.06281019531250007,-0.0600732890625,0.04015109980471679
64,3,-0.067085796875,-0.0659360078125002,0.03685327881796384
65,3,-0.07571187760416674,-0.071136953125,0.0407188880990081
66,3,-0.09100454166666679,-0.0715340312500003,0.03447954068255212
67,3,-0.09962723958333347,-0.0806082265625001,0.03537060520563582
68,3,-0.10278270312499997,-0.082054640625,0.037299531839100494
69,3,-0.1056573307291669,-0.0865107500000003,0.03567333367066833
70,3,-0.1149371536458334,-0.0900868593750002,0.046100017913625724
71,3,-0.11707457552083333,-0.0905168906250001,0.04943555822910129
72,3,-0.1303280546874999,-0.1025775703125,0.05730353735534399
73,3,-0.13252581770833335,-0.1025775703125,0.06090751510151046
74,3,-0.1437899401041667,-0.1354213203125003,0.05605426254057785
75,3,-0.15485498697916678,-0.1532813203125003,0.06326601629596897
76,3,-0.1617528541666667,-0.1569696562500001,0.0718734392394609
77,3,-0.170889078125,-0.1588125859375,0.08518132740474228
78,3,-0.17663621093750004,-0.1637489062500002,0.08759307257755379
79,3,-0.19329517708333332,-0.1901972343749999,0.09381169191097026
80,3,-0.20297937239583344,-0.2005217890625001,0.08792949621117353
81,3,-0.20851012760416668,-0.2107201640625,0.09112078267544045
82,3,-0.2351845182291666,-0.2826522578125,0.09738790522942233
83,3,-0.24267890624999988,-0.2917712187499999,0.09201536205824036
84,3,-0.25010913541666663,-0.2917712187499999,0.07915985020040078
85,3,-0.25569057291666664,-0.3003890859375,0.08300917278569712
86,3,-0.2640185651041668,-0.3103513828125,0.08420084123822455
87,3,-0.27769827864583346,-0.3267443046875002,0.0942698296109715
88,3,-0.2810522890625,-0.3275943906250002,0.08918095340518153
89,3,-0.3026825078125,-0.3490705234375003,0.08139789803864184
90,3,-0.31018841927083335,-0.3584144375,0.0874504711194294
91,3,-0.31476306770833334,-0.3595925625,0.08053542919100311
92,3,-0.32003918229166667,-0.365152515625,0.07847373868840592
93,3,-0.32802200260416686,-0.3677047187500003,0.0697173212906706
94,3,-0.3353606145833334,-0.3724478671875001,0.06649866377369765
95,3,-0.33924903385416694,-0.3770726796875001,0.06660382481337249
96,3,-0.3494454999999999,-0.3800684453124998,0.07405646866992487
97,3,-0.35321165104166674,-0.389407984375,0.07681195486598003
98,3,-0.36353082291666655,-0.3986712734374998,0.07453603098085297
99,3,-0.3727730911458334,-0.414222890625,0.07234522627579869
100,3,-0.38091888541666674,-0.4149572343750001,0.06563684692184643
101,3,-0.4003187630208332,-0.4229814609375,0.05198837511161733
102,3,-0.4011196119791666,-0.4229814609375,0.052823499252255296
103,3,-0.4063809401041667,-0.4347406406250002,0.055490324807292095
104,3,-0.4201177734375001,-0.4415910625,0.04472834103856926
105,3,-0.42305728645833357,-0.4418838750000003,0.04761189541214027
106,3,-0.4370432812500001,-0.4464010234375004,0.027607084363995428
