format_key,scoring_total,families_observed,best_family_mean_regret,surface_median_mean_regret,surface_p75_mean_regret,surface_p90_mean_regret,families_joint_eq_025,QB_low_025,QB_high_025,RB_low_025,RB_high_025,WR_low_025,WR_high_025,TE_low_025,TE_high_025,families_joint_eq_050,QB_low_050,QB_high_050,RB_low_050,RB_high_050,WR_low_050,WR_high_050,TE_low_050,TE_high_050,families_joint_eq_100,QB_low_100,QB_high_100,RB_low_100,RB_high_100,WR_low_100,WR_high_100,TE_low_100,TE_high_100,families_joint_eq_150,QB_low_150,QB_high_150,RB_low_150,RB_high_150,WR_low_150,WR_high_150,TE_low_150,TE_high_150,range_stable_050_to_100,status
12T|SF|Start11|QB1|RB3|WR3|TE1|FLEX2|SFLEX1|TEP,16,99,0.0021319839999999,0.0758946790697674,0.11940402611026585,0.17181472020343408,5,2,3,4,5,5,7,2,3,5,2,3,4,5,5,7,2,3,5,2,3,4,5,5,7,2,3,5,2,3,4,5,5,7,2,3,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB1|WR1|TE1|FLEX7|SFLEX1|TEP,16,38,0.0015049041975308,0.05052233545650295,0.10987009046296295,0.12646336111111114,3,2,3,4,5,5,6,3,3,3,2,3,4,5,5,6,3,3,3,2,3,4,5,5,6,3,3,3,2,3,4,5,5,6,3,3,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB1|WR1|TE1|FLEX7|SFLEX1|TEP,17,66,0.0040474920987654,0.0713038597002584,0.12667388837962962,0.13997560842592593,2,3,3,4,5,6,7,3,3,2,3,3,4,5,6,7,3,3,2,3,3,4,5,6,7,3,3,2,3,3,4,5,6,7,3,3,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB2|WR2|TE2|FLEX3|SFLEX2|TEP,16,99,0.0041898105611049,0.0904304548774466,0.17332441137486565,0.20932138242935333,6,3,4,3,5,5,7,3,4,6,3,4,3,5,5,7,3,4,6,3,4,3,5,5,7,3,4,6,3,4,3,5,5,7,3,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB2|WR2|TE2|FLEX3|SFLEX2|TEP,17,152,0.0044960475750147,0.10521390504289685,0.1706486167090996,0.22530913296377503,10,3,4,3,6,5,7,3,5,12,3,4,3,6,5,7,2,5,12,3,4,3,6,5,7,2,5,12,3,4,3,6,5,7,2,5,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB2|WR3|TE1|FLEX4|SFLEX1|TEP,16,75,0.0015812859764309,0.0665350454665628,0.1125925286400026,0.14508944093898488,10,2,3,3,5,5,8,2,4,10,2,3,3,5,5,8,2,4,10,2,3,3,5,5,8,2,4,10,2,3,3,5,5,8,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB2|WR3|TE1|FLEX4|SFLEX1|TEP,17,117,0.0008823183255813,0.0798688970370369,0.1205951892592592,0.1623360757275744,9,2,3,3,5,6,8,2,4,9,2,3,3,5,6,8,2,4,9,2,3,3,5,6,8,2,4,9,2,3,3,5,6,8,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB2|WR3|TE2|FLEX3|SFLEX1|TEP,16,70,0.0003938123703703,0.0789317158888888,0.11538391749867717,0.15299637869312172,7,2,3,3,5,5,7,3,4,7,2,3,3,5,5,7,3,4,7,2,3,3,5,5,7,3,4,7,2,3,3,5,5,7,3,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB2|WR3|TE2|FLEX3|SFLEX1|TEP,17,111,0.0013977904440815,0.0853427588888889,0.1286955579629629,0.1705094537037036,9,2,4,3,5,5,7,3,4,9,2,4,3,5,5,7,3,4,9,2,4,3,5,5,7,3,4,9,2,4,3,5,5,7,3,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB3|WR4|TE1|FLEX2|SFLEX1|TEP,16,77,0.0,0.070720307653468,0.1179028496587632,0.16663507785702902,7,2,3,4,5,5,7,2,4,7,2,3,4,5,5,7,2,4,7,2,3,4,5,5,7,2,4,7,2,3,4,5,5,7,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start12|QB1|RB3|WR4|TE1|FLEX2|SFLEX1|TEP,17,117,0.0009261422222221,0.0895099376525821,0.1348419726122774,0.18384390722189733,9,2,4,4,5,5,7,2,4,9,2,4,4,5,5,7,2,4,9,2,4,4,5,5,7,2,4,9,2,4,4,5,5,7,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start9|QB1|RB2|WR2|TE1|FLEX2|SFLEX1|noTEP,13,39,0.0056247336448598,0.0690494280373832,0.1702657456074767,0.19369890489719638,3,2,3,3,4,4,5,2,2,3,2,3,3,4,4,5,2,2,3,2,3,3,4,4,5,2,2,3,2,3,3,4,4,5,2,2,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start9|QB1|RB2|WR2|TE1|FLEX2|SFLEX1|noTEP,14,66,0.0,0.06877261487242864,0.145602361948695,0.20653038411214947,6,2,3,3,5,4,6,2,3,6,2,3,3,5,4,6,2,3,6,2,3,3,5,4,6,2,3,6,2,3,3,5,4,6,2,3,True,BROAD_EQUIVALENCE_PLATEAU
