league_id,season,stratum,bench,capacity,lookback,test_week,QB,RB,WR,TE,status,capture,test_regret,signed_capture,gain_vs_old_choice
1048204852251164672,2024,1QB,5,15,3,12,2.0,4.0,6.0,3.0,evaluated,2.2856966226041657,0.08718866635416662,2.3602377021874994,-0.07454107958333367
1048204852251164672,2024,1QB,5,15,5,8,1.0,7.0,4.0,3.0,evaluated,1.9160280750000005,0.16174807968749993,2.0567490844791667,-0.14072100947916621
1048204852251164672,2024,1QB,5,15,5,12,1.0,4.0,7.0,3.0,evaluated,2.37105546375,0.013626853124999894,2.3710554637499994,4.440892098500626e-16
1048204852251164672,2024,1QB,12,22,3,8,3.0,7.0,8.0,4.0,evaluated,2.121892366875,0.055710461979166404,2.096004770625,0.025887596250000033
1048204852251164672,2024,1QB,12,22,3,12,2.0,4.0,12.0,4.0,evaluated,2.311790282499999,0.06542059562500017,2.29094757,0.020842712499999028
1048204852251164672,2024,1QB,12,22,5,8,1.0,7.0,10.0,4.0,evaluated,2.0502711600000003,0.045610492083333266,2.054189815833334,-0.003918655833333506
1048204852251164672,2024,1QB,12,22,5,12,2.0,7.0,10.0,3.0,evaluated,2.3765020957291667,0.004400701979166459,2.366259887604166,0.010242208125000651
1048901308398288896,2024,1QB,5,15,3,8,2.0,5.0,4.0,4.0,evaluated,2.032707848020833,0.1984751447916667,2.126533542187499,-0.0938256941666662
1048901308398288896,2024,1QB,5,15,3,12,1.0,4.0,7.0,3.0,evaluated,2.4863309767708324,0.02155889708333314,2.4863309767708324,0.0
1048901308398288896,2024,1QB,5,15,5,8,2.0,5.0,4.0,4.0,evaluated,2.0050484143749996,0.2030915776041664,2.110214861666666,-0.10516644729166646
1048901308398288896,2024,1QB,5,15,5,12,1.0,5.0,6.0,3.0,evaluated,2.5036195848958323,0.035871395000000174,2.510927253020832,-0.007307668124999722
1048901308398288896,2024,1QB,12,22,3,8,3.0,8.0,7.0,4.0,evaluated,2.1996791369791664,0.07103614947916641,2.2031816533333326,-0.0035025163541662074
1048901308398288896,2024,1QB,12,22,3,12,2.0,5.0,11.0,4.0,evaluated,2.4557326660416656,0.06775207427083292,2.470401027604165,-0.014668361562499399
1048901308398288896,2024,1QB,12,22,5,8,2.0,9.0,7.0,4.0,evaluated,2.1396401801041662,0.03642817177083316,2.119547318958333,0.020092861145833307
1048901308398288896,2024,1QB,12,22,5,12,2.0,5.0,12.0,3.0,evaluated,2.521351829895832,0.019715591562500023,2.5192148647916657,0.0021369651041664994
1180667636675596288,2025,1QB,5,15,3,8,3.0,5.0,4.0,3.0,evaluated,1.7287543371875005,0.06405455447916648,1.7206404603125005,0.008113876874999981
1180667636675596288,2025,1QB,5,15,3,12,4.0,4.0,4.0,3.0,evaluated,2.1426853752083335,0.06696855687500003,2.1605283570833334,-0.017842981874999886
1180667636675596288,2025,1QB,5,15,5,8,3.0,5.0,4.0,3.0,evaluated,1.7369337525,0.04756200260416684,1.7357000737500003,0.0012336787499995783
1180667636675596288,2025,1QB,5,15,5,12,3.0,4.0,4.0,4.0,evaluated,2.171772963333334,0.07146174427083334,2.2076611620833337,-0.03588819874999993
1180667636675596288,2025,1QB,12,22,3,8,4.0,9.0,5.0,4.0,evaluated,1.7605898733333334,0.02750976145833328,1.7418869445833336,0.018702928749999792
1180667636675596288,2025,1QB,12,22,3,12,4.0,8.0,6.0,4.0,evaluated,2.193734289375,0.008742778125000092,2.177546780729166,0.016187508645833848
1180667636675596288,2025,1QB,12,22,5,8,4.0,5.0,10.0,3.0,evaluated,1.7311024872916667,0.041298404895833286,1.750558150729167,-0.01945566343750027
