league_id,season,stratum,bench,capacity,lookback,test_week,QB,RB,WR,TE,status,capture,test_regret
1180084795436826624,2025,SF_1TE,12,22,3,8,5.0,5.0,9.0,3.0,evaluated,2.064189910729167,0.047856738854166636
1180084795436826624,2025,SF_1TE,12,22,3,12,5.0,8.0,6.0,3.0,evaluated,2.3501226752083326,0.021660450937500315
1180084795436826624,2025,SF_1TE,12,22,5,8,5.0,5.0,9.0,3.0,evaluated,2.013784125520834,0.08695565093749973
1180084795436826624,2025,SF_1TE,12,22,5,12,5.0,9.0,5.0,3.0,evaluated,2.4734135179166663,0.00871239750000008
918260594971672576,2023,SF_2TE,5,16,3,8,4.0,3.0,5.0,4.0,evaluated,3.067810214583332,0.05339990916666645
918260594971672576,2023,SF_2TE,5,16,3,12,3.0,3.0,6.0,4.0,evaluated,2.8744407976041657,0.0745140823958333
918260594971672576,2023,SF_2TE,5,16,5,8,4.0,3.0,5.0,4.0,evaluated,3.032292196041666,0.0462299629166667
918260594971672576,2023,SF_2TE,5,16,5,12,3.0,3.0,6.0,4.0,evaluated,2.856820152604166,0.08813756906249992
918260594971672576,2023,SF_2TE,12,23,3,8,5.0,8.0,5.0,5.0,evaluated,2.9966980843749993,0.08725513437500003
918260594971672576,2023,SF_2TE,12,23,3,12,5.0,3.0,11.0,4.0,evaluated,2.8743595589583326,0.13661883218750015
918260594971672576,2023,SF_2TE,12,23,5,8,5.0,8.0,5.0,5.0,evaluated,2.991877501979166,0.05973261125000029
918260594971672576,2023,SF_2TE,12,23,5,12,5.0,3.0,10.0,5.0,evaluated,2.8684215131249995,0.10633268114583345
920016644603248640,2023,SF_2TE,5,17,3,8,5.0,3.0,5.0,4.0,evaluated,3.527908249791665,0.08968936697916667
920016644603248640,2023,SF_2TE,5,17,3,12,4.0,3.0,6.0,4.0,evaluated,3.311275757812498,0.07336298447916671
920016644603248640,2023,SF_2TE,5,17,5,8,4.0,3.0,5.0,5.0,evaluated,3.520465831666666,0.060924587291666533
920016644603248640,2023,SF_2TE,5,17,5,12,3.0,3.0,6.0,5.0,evaluated,3.3096583040624985,0.08291849260416677
920016644603248640,2023,SF_2TE,12,24,3,8,5.0,10.0,5.0,4.0,chosen_unavailable,,
920016644603248640,2023,SF_2TE,12,24,3,12,5.0,3.0,12.0,4.0,evaluated,3.277141381874998,0.12107255520833322
920016644603248640,2023,SF_2TE,12,24,5,8,4.0,10.0,5.0,5.0,chosen_unavailable,,
920016644603248640,2023,SF_2TE,12,24,5,12,4.0,3.0,12.0,5.0,evaluated,3.323249176354165,0.08803046322916701
1048274355802820608,2024,SF_2TE,5,17,3,8,5.0,4.0,5.0,3.0,evaluated,3.1593922608333322,0.08599834916666686
1048274355802820608,2024,SF_2TE,5,17,3,12,3.0,4.0,7.0,3.0,evaluated,4.060615309375,0.006740468749999747
