league_id,season,stratum,bench,capacity,test_week,seed,lookback,signed_capture,positive_capture,negative_capture,oracle_positive
1180084795436826624,2025,SF_1TE,12,22,8,7000,3,2.1163166868750007,3.085899191874999,-0.9695825049999989,4.313483555624999
1180084795436826624,2025,SF_1TE,12,22,8,7000,5,2.0583045003125005,3.0501687284374994,-0.991864228124999,4.313483555624999
1180084795436826624,2025,SF_1TE,5,15,8,17000,3,1.9737291328125004,2.9688547484374994,-0.9951256156249989,3.665848048437499
1180084795436826624,2025,SF_1TE,5,15,8,17000,5,1.9565578640625003,2.958951671874999,-1.002393807812499,3.665848048437499
1180084795436826624,2025,SF_1TE,12,22,8,17000,3,2.0371739262500004,3.0128864465624994,-0.9757125203124989,4.243967224062499
1180084795436826624,2025,SF_1TE,12,22,8,17000,5,2.00339014125,3.0002259928124997,-0.996835851562499,4.243967224062499
1180084795436826624,2025,SF_1TE,5,15,8,27000,3,2.0508325915625,3.027647186874999,-0.9768145953124989,3.690507206562499
1180084795436826624,2025,SF_1TE,5,15,8,27000,5,2.0452561731250007,3.034900961874999,-0.9896447887499991,3.690507206562499
1180084795436826624,2025,SF_1TE,12,22,8,27000,3,2.0902336153125,3.0530111115624994,-0.9627774962499989,4.274022103749999
1180084795436826624,2025,SF_1TE,12,22,8,27000,5,2.0532900987500007,3.0405585562499997,-0.9872684574999989,4.274022103749999
1180084795436826624,2025,SF_1TE,5,15,12,7000,3,2.3294643343749994,3.183511839062499,-0.8540475046874993,3.8343792868749986
1180084795436826624,2025,SF_1TE,5,15,12,7000,5,2.40245321875,3.261657738749999,-0.8592045199999994,3.8343792868749986
1180084795436826624,2025,SF_1TE,12,22,12,7000,3,2.2834785515624993,3.1482223021874987,-0.8647437506249993,4.2469089381249985
1180084795436826624,2025,SF_1TE,12,22,12,7000,5,2.3457948418749996,3.226298029062499,-0.8805031871874993,4.2469089381249985
1180084795436826624,2025,SF_1TE,5,15,12,17000,3,2.4831862040624997,3.316364874062499,-0.8331786699999993,4.017505546874999
1180084795436826624,2025,SF_1TE,5,15,12,17000,5,2.5835477009374994,3.4131808484374995,-0.8296331474999994,4.017505546874999
1180084795436826624,2025,SF_1TE,12,22,12,17000,3,2.4435711565624993,3.287521328124999,-0.8439501715624994,4.4418157806249985
1180084795436826624,2025,SF_1TE,12,22,12,17000,5,2.5381758984374994,3.3872854431249992,-0.8491095446874993,4.4418157806249985
1180084795436826624,2025,SF_1TE,5,15,12,27000,3,2.3786812112499995,3.219100954999999,-0.8404197437499994,3.8978226143749986
1180084795436826624,2025,SF_1TE,5,15,12,27000,5,2.5065492799999998,3.343564843124999,-0.8370155631249994,3.8978226143749986
1180084795436826624,2025,SF_1TE,12,22,12,27000,3,2.3436456887499997,3.192936689687499,-0.8492910009374994,4.309617278437498
1180084795436826624,2025,SF_1TE,12,22,12,27000,5,2.4674341443749994,3.3202588346874995,-0.8528246903124993,4.309617278437498
1180224010881282048,2025,1QB,5,14,8,7000,3,1.6349955390625,2.634029363749999,-0.9990338246874992,3.327017091562499
1180224010881282048,2025,1QB,5,14,8,7000,5,1.6795403103125,2.679015779374999,-0.9994754690624993,3.327017091562499
1180224010881282048,2025,1QB,5,14,8,17000,3,1.6434030553124999,2.625036725937499,-0.9816336706249993,3.2629110265624988
1180224010881282048,2025,1QB,5,14,8,17000,5,1.7118393959374998,2.678629648437499,-0.9667902524999992,3.2629110265624988
1180224010881282048,2025,1QB,5,14,8,27000,3,1.651678483125,2.633855581562499,-0.9821770984374992,3.2726142134374996
1180224010881282048,2025,1QB,5,14,8,27000,5,1.6719884965625,2.661035207187499,-0.9890467106249992,3.2726142134374996
1180224010881282048,2025,1QB,5,14,12,7000,3,2.09821824375,2.8792082665624985,-0.7809900228124994,3.416883386562499
1180224010881282048,2025,1QB,5,14,12,7000,5,2.1321839368749993,2.921984567187499,-0.7898006303124994,3.416883386562499
1180224010881282048,2025,1QB,5,14,12,17000,3,2.1923147934374994,2.975282539999999,-0.7829677465624993,3.5012714818749986
1180224010881282048,2025,1QB,5,14,12,17000,5,2.2071610862499997,3.0022638018749994,-0.7951027156249995,3.5012714818749986
1180224010881282048,2025,1QB,5,14,12,27000,3,2.1069128599999996,2.9099926712499986,-0.8030798112499994,3.437241868749999
1180224010881282048,2025,1QB,5,14,12,27000,5,2.1577407912499997,2.9648213134374988,-0.8070805221874994,3.437241868749999
1180354306008649728,2025,SF_2TE,5,16,8,7000,3,2.5919125468749993,3.412894798437499,-0.8209822515624994,4.108127398437499
1180354306008649728,2025,SF_2TE,5,16,8,7000,5,2.606028110624999,3.4425364140624986,-0.8365083034374994,4.108127398437499
1180354306008649728,2025,SF_2TE,12,23,8,7000,3,2.590211374999999,3.415311755624999,-0.8251003806249992,4.560571851249998
1180354306008649728,2025,SF_2TE,12,23,8,7000,5,2.6207821896874997,3.4559578062499985,-0.8351756165624993,4.560571851249998
1180354306008649728,2025,SF_2TE,5,16,8,17000,3,2.6012616009374994,3.4320220140624986,-0.8307604131249993,4.0745116684374985
1180354306008649728,2025,SF_2TE,5,16,8,17000,5,2.5755443012499994,3.430062558437499,-0.8545182571874994,4.0745116684374985
1180354306008649728,2025,SF_2TE,12,23,8,17000,3,2.618203934062499,3.4501155053124988,-0.8319115712499994,4.555903539999999
1180354306008649728,2025,SF_2TE,12,23,8,17000,5,2.607929760937499,3.4521465034374987,-0.8442167424999993,4.555903539999999
1180354306008649728,2025,SF_2TE,5,16,8,27000,3,2.520501681562499,3.3781751493749987,-0.8576734678124993,4.073678448124999
1180354306008649728,2025,SF_2TE,5,16,8,27000,5,2.5271446218749993,3.3960790887499988,-0.8689344668749992,4.073678448124999
1180354306008649728,2025,SF_2TE,12,23,8,27000,3,2.5375648074999995,3.398110229374999,-0.8605454218749993,4.580057090312499
1180354306008649728,2025,SF_2TE,12,23,8,27000,5,2.5546418006249993,3.4213961543749987,-0.8667543537499993,4.580057090312499
1180354306008649728,2025,SF_2TE,5,16,12,7000,3,2.739966108749999,3.556374369374999,-0.8164082606249994,4.171285435624998
1180354306008649728,2025,SF_2TE,5,16,12,7000,5,2.8780305912499995,3.674350675312499,-0.7963200840624995,4.171285435624998
1180354306008649728,2025,SF_2TE,12,23,12,7000,3,2.747476986562499,3.5541415978124986,-0.8066646112499996,4.7092580078124975
1180354306008649728,2025,SF_2TE,12,23,12,7000,5,2.850328894374999,3.658649374374998,-0.8083204799999995,4.7092580078124975
1180354306008649728,2025,SF_2TE,5,16,12,17000,3,2.863753438437499,3.643371540624999,-0.7796181021874996,4.254020114062499
1180354306008649728,2025,SF_2TE,5,16,12,17000,5,2.9694533634374993,3.7367865009374985,-0.7673331374999997,4.254020114062499
1180354306008649728,2025,SF_2TE,12,23,12,17000,3,2.8378527037499994,3.621678690624999,-0.7838259868749995,4.811338625312499
1180354306008649728,2025,SF_2TE,12,23,12,17000,5,2.937130947499999,3.7197044893749984,-0.7825735418749995,4.811338625312499
1180354306008649728,2025,SF_2TE,5,16,12,27000,3,2.8576832081249997,3.652665789687499,-0.7949825815624996,4.222410959062499
1180354306008649728,2025,SF_2TE,5,16,12,27000,5,2.9304182962499996,3.721726032812499,-0.7913077365624994,4.222410959062499
1180354306008649728,2025,SF_2TE,12,23,12,27000,3,2.842077215312499,3.6313783837499987,-0.7893011684374995,4.761626819374998
1180354306008649728,2025,SF_2TE,12,23,12,27000,5,2.9102746559374992,3.712568234687499,-0.8022935787499994,4.761626819374998
1180578870847586304,2025,SF_2TE,5,16,8,7000,3,2.5824989378124994,3.394655033437499,-0.8121560956249994,4.005624677187498
1180578870847586304,2025,SF_2TE,5,16,8,7000,5,2.58448941125,3.415980942187499,-0.8314915309374993,4.005624677187498
1180578870847586304,2025,SF_2TE,12,23,8,7000,3,2.6119887106249995,3.425335050937499,-0.8133463403124994,4.618107138124999
1180578870847586304,2025,SF_2TE,12,23,8,7000,5,2.6116105884374994,3.442998806874999,-0.8313882184374993,4.618107138124999
1180578870847586304,2025,SF_2TE,5,16,8,17000,3,2.5330764387499998,3.359611868749999,-0.8265354299999994,3.969985909062499
1180578870847586304,2025,SF_2TE,5,16,8,17000,5,2.5146832728124995,3.3674949006249992,-0.8528116278124993,3.969985909062499
1180578870847586304,2025,SF_2TE,12,23,8,17000,3,2.5577083246874994,3.3850231693749993,-0.8273148446874994,4.612924711562499
1180578870847586304,2025,SF_2TE,12,23,8,17000,5,2.61174596375,3.446764914687499,-0.8350189509374993,4.612924711562499
1180578870847586304,2025,SF_2TE,5,16,8,27000,3,2.4963940315624997,3.342317926874999,-0.8459238953124993,3.966177066874999
1180578870847586304,2025,SF_2TE,5,16,8,27000,5,2.5059289887499996,3.370502990624999,-0.8645740018749992,3.966177066874999
1180578870847586304,2025,SF_2TE,12,23,8,27000,3,2.535606607499999,3.3823687590624987,-0.8467621515624993,4.598495381562499
1180578870847586304,2025,SF_2TE,12,23,8,27000,5,2.5472066103124997,3.402583385624999,-0.8553767753124992,4.598495381562499
1180578870847586304,2025,SF_2TE,5,16,12,7000,3,2.76884775,3.512993001562499,-0.7441452515624991,4.156377879999999
1180578870847586304,2025,SF_2TE,5,16,12,7000,5,2.8899725596875,3.611981699062499,-0.722009139374999,4.156377879999999
1180578870847586304,2025,SF_2TE,12,23,12,7000,3,2.7575108415625,3.5030451184374987,-0.7455342768749991,4.617988149062498
1180578870847586304,2025,SF_2TE,12,23,12,7000,5,2.8440904374999993,3.583573663124999,-0.739483225624999,4.617988149062498
1180578870847586304,2025,SF_2TE,5,16,12,17000,3,2.929410316875,3.648570892187499,-0.7191605753124992,4.257073983124998
1180578870847586304,2025,SF_2TE,5,16,12,17000,5,3.0146336040624995,3.7192964043749988,-0.7046628003124991,4.257073983124998
1180578870847586304,2025,SF_2TE,12,23,12,17000,3,2.8836455849999996,3.606713245937499,-0.7230676609374991,4.755077129999998
1180578870847586304,2025,SF_2TE,12,23,12,17000,5,2.9747877209375,3.695358785937499,-0.7205710649999991,4.755077129999998
1180578870847586304,2025,SF_2TE,5,16,12,27000,3,2.8014966762499998,3.5354128984374986,-0.7339162221874991,4.150531775624998
1180578870847586304,2025,SF_2TE,5,16,12,27000,5,2.8681702424999997,3.595266616562499,-0.7270963740624992,4.150531775624998
1180578870847586304,2025,SF_2TE,12,23,12,27000,3,2.7721482181249995,3.512057314062499,-0.7399090959374991,4.651401414374998
1180578870847586304,2025,SF_2TE,12,23,12,27000,5,2.8277417484375,3.5749129762499994,-0.747171227812499,4.651401414374998
1180667636675596288,2025,1QB,5,15,8,7000,3,1.7738127487500002,2.8527868624999995,-1.078974113749999,3.485433476249999
1180667636675596288,2025,1QB,5,15,8,7000,5,1.7564374165625003,2.849044425312499,-1.0926070087499993,3.485433476249999
1180667636675596288,2025,1QB,12,22,8,7000,3,1.7891352162500003,2.8823543809374996,-1.093219164687499,4.073769876249999
1180667636675596288,2025,1QB,12,22,8,7000,5,1.7700710384375002,2.865540102812499,-1.0954690643749991,4.073769876249999
1180667636675596288,2025,1QB,5,15,8,17000,3,1.6607774871875003,2.759988286562499,-1.099210799374999,3.459493235312499
1180667636675596288,2025,1QB,5,15,8,17000,5,1.7065492081250002,2.8044768859374996,-1.0979276778124991,3.459493235312499
1180667636675596288,2025,1QB,12,22,8,17000,3,1.6956015971875003,2.7981301756249994,-1.1025285784374992,4.015267649999999
1180667636675596288,2025,1QB,12,22,8,17000,5,1.7274463403125004,2.822116037812499,-1.0946696974999992,4.015267649999999
1180667636675596288,2025,1QB,5,15,8,27000,3,1.7273311450000002,2.8004671893749995,-1.073136044374999,3.486835660937499
1180667636675596288,2025,1QB,5,15,8,27000,5,1.7441135965625003,2.8274304993749997,-1.0833169028124991,3.486835660937499
1180667636675596288,2025,1QB,12,22,8,27000,3,1.7409240203125003,2.8219656334374994,-1.0810416131249991,4.076493693437499
1180667636675596288,2025,1QB,12,22,8,27000,5,1.7541570734375,2.8362646631249993,-1.0821075896874992,4.076493693437499
1180667636675596288,2025,1QB,5,15,12,7000,3,2.2243973290625,3.1098235556249993,-0.8854262265624993,3.596098616249999
1180667636675596288,2025,1QB,5,15,12,7000,5,2.26477662,3.1545584512499993,-0.8897818312499992,3.596098616249999
1180667636675596288,2025,1QB,12,22,12,7000,3,2.2447771978125006,3.1184237003124995,-0.8736465024999991,4.0728730581249994
1180667636675596288,2025,1QB,12,22,12,7000,5,2.252278858125,3.1586726968749996,-0.9063938387499992,4.0728730581249994
1180667636675596288,2025,1QB,5,15,12,17000,3,2.1748374384374998,3.0871953406249997,-0.9123579021874991,3.5844214443749993
1180667636675596288,2025,1QB,5,15,12,17000,5,2.2095691818750005,3.1318616543749993,-0.9222924724999992,3.5844214443749993
1180667636675596288,2025,1QB,12,22,12,17000,3,2.1852216353125002,3.078081938124999,-0.8928603028124991,4.088432996562499
1180667636675596288,2025,1QB,12,22,12,17000,5,2.2261542634375,3.1501083099999994,-0.9239540465624992,4.088432996562499
1180667636675596288,2025,1QB,5,15,12,27000,3,2.08235030375,2.998604379687499,-0.9162540759374991,3.499090709062499
1180667636675596288,2025,1QB,5,15,12,27000,5,2.148637684375,3.0603487090624997,-0.9117110246874991,3.499090709062499
1180667636675596288,2025,1QB,12,22,12,27000,3,2.1026415090625,3.0019473537499994,-0.8993058446874993,4.007244719687499
1180667636675596288,2025,1QB,12,22,12,27000,5,2.1338019384375,3.0612013271874994,-0.9273993887499992,4.007244719687499
1201959553390891008,2025,SF_1TE,5,15,8,7000,3,1.5039474234374999,2.8181006096874994,-1.314153186249999,3.556472147187499
1201959553390891008,2025,SF_1TE,5,15,8,7000,5,1.4814364875,2.8157062671874993,-1.3342697796874994,3.556472147187499
1201959553390891008,2025,SF_1TE,12,22,8,7000,3,1.53073478875,2.8398622431249994,-1.3091274543749993,4.249083620937499
1201959553390891008,2025,SF_1TE,12,22,8,7000,5,1.48097855,2.8392683471874993,-1.3582897971874992,4.249083620937499
1201959553390891008,2025,SF_1TE,5,15,8,17000,3,1.40749932875,2.7305613443749994,-1.3230620156249993,3.4885940699999987
1201959553390891008,2025,SF_1TE,5,15,8,17000,5,1.3873563740625001,2.730040433437499,-1.3426840593749994,3.4885940699999987
1201959553390891008,2025,SF_1TE,12,22,8,17000,3,1.4548683328125,2.7747632821874992,-1.3198949493749992,4.166247887187499
1201959553390891008,2025,SF_1TE,12,22,8,17000,5,1.4138186128124999,2.771915663749999,-1.3580970509374994,4.166247887187499
1201959553390891008,2025,SF_1TE,5,15,8,27000,3,1.4956541059375001,2.8204711446874993,-1.3248170387499991,3.620014782187499
1201959553390891008,2025,SF_1TE,5,15,8,27000,5,1.4591785909375,2.813773726249999,-1.3545951353124994,3.620014782187499
