league_id,season,stratum,test_week,lookback,delta_signed_capture,delta_positive_capture,delta_oracle_positive
1055621034914820096,2024,SF_1TE,8,5,0.097918950625,0.04685558260416789,0.7523566680208336
1055621034914820096,2024,SF_1TE,12,3,0.04310001135416597,0.048882475104166545,0.6452617593749999
1055621034914820096,2024,SF_1TE,12,5,0.08885630999999972,0.0731491435416678,0.6452617593749999
1180084795436826624,2025,SF_1TE,8,3,0.049481337083333354,0.03338880499999952,0.5751771781249997
1180084795436826624,2025,SF_1TE,8,5,0.032495874687498816,0.027590635937499997,0.5751771781249997
1180084795436826624,2025,SF_1TE,12,3,-0.04021211760416632,-0.03009911604166593,0.41621151635416576
1180084795436826624,2025,SF_1TE,12,5,-0.04704843833333339,-0.028187041145833813,0.41621151635416576
1180354306008649728,2025,SF_2TE,8,3,0.010768095729166927,0.013481842812500311,0.48007165552083375
1180354306008649728,2025,SF_2TE,8,5,0.024878905833332965,0.020274134270833244,0.48007165552083375
1180354306008649728,2025,SF_2TE,12,3,-0.011331949895833304,-0.015071009166666816,0.5448356479166669
1180354306008649728,2025,SF_2TE,12,5,-0.026722584374999858,-0.013980370208333426,0.5448356479166669
1180578870847586304,2025,SF_2TE,8,3,0.031111411562499747,0.032047383437500354,0.6292465260416664
1180578870847586304,2025,SF_2TE,8,5,0.05515382989583273,0.0461227579166672,0.6292465260416664
1180578870847586304,2025,SF_2TE,12,3,-0.02881669947916654,-0.025053704583333225,0.4868276848958324
1180578870847586304,2025,SF_2TE,12,5,-0.04205216645833332,-0.024233098229166306,0.4868276848958324
1180667636675596288,2025,1QB,8,3,0.021246484270833088,0.029735950520832333,0.5779229490625015
1180667636675596288,2025,1QB,8,5,0.014858076979166635,0.014322997708333673,0.5779229490625015
1180667636675596288,2025,1QB,12,3,0.017018423645832836,0.0009432387499996864,0.49631333489583307
1180667636675596288,2025,1QB,12,5,-0.003582808750000943,0.007737839791666534,0.49631333489583307
1201959553390891008,2025,SF_1TE,8,3,0.03308343510416689,0.029088262083333927,0.6845418361458333
1201959553390891008,2025,SF_1TE,8,5,0.006523471562500438,0.03207694999999999,0.6845418361458333
1201959553390891008,2025,SF_1TE,12,3,-0.01866522416666694,-0.03295980010416599,0.5452762407291667
1201959553390891008,2025,SF_1TE,12,5,-0.02740843114583358,-0.03150957083333372,0.5452762407291667
914741498980225024,2023,SF_1TE,8,3,0.030288632083333766,0.03156495635416645,0.3566622942708335
914741498980225024,2023,SF_1TE,8,5,0.02620221916666665,0.02350670989583392,0.3566622942708335
914741498980225024,2023,SF_1TE,12,3,0.027879393020833643,0.005612516354166708,0.3144469547916664
914741498980225024,2023,SF_1TE,12,5,0.020446404479166347,0.001967789270834075,0.3144469547916664
918260594971672576,2023,SF_2TE,8,3,0.04255944968749992,0.03778122187500088,0.37688617281250014
918260594971672576,2023,SF_2TE,8,5,0.03910688052083344,0.031569416562499786,0.37688617281250014
918260594971672576,2023,SF_2TE,12,3,0.06418742218750007,0.05993268520833439,0.42398013562500036
918260594971672576,2023,SF_2TE,12,5,0.0753291486458334,0.053231004791666425,0.42398013562500036
918960870980501504,2023,SF_1TE,12,3,0.028827085416666343,0.03913772437500018,0.6378893516666673
918960870980501504,2023,SF_1TE,12,5,-0.02730707427083301,-0.013056603437500147,0.6378893516666673
920016644603248640,2023,SF_2TE,8,3,0.050918578645832824,0.049063647499999696,0.45113620656249953
920016644603248640,2023,SF_2TE,8,5,0.0571082377083334,0.05087565968750063,0.45113620656249953
920016644603248640,2023,SF_2TE,12,3,-0.001005945833334021,0.008453445104165347,0.3216644752083333
920016644603248640,2023,SF_2TE,12,5,0.015921266145833002,0.006665530312499612,0.3216644752083333
920523240571850752,2023,1QB,8,3,-0.015517652604166265,-0.014097698645833212,0.43475437312499965
920523240571850752,2023,1QB,8,5,-0.02795271437500002,-0.018698243020832894,0.43475437312499965
920523240571850752,2023,1QB,12,3,0.05709335427083295,0.029804636458332645,0.4286537271874997
920523240571850752,2023,1QB,12,5,0.038540978541666604,0.015884422395833653,0.4286537271874997
969999751733186560,2023,1QB,8,3,0.059315438854166125,0.019112835625000102,0.4395378435416668
969999751733186560,2023,1QB,8,5,0.06792495187500025,0.033832771041666376,0.4395378435416668
969999751733186560,2023,1QB,12,3,0.043895000312500265,0.03356648520833305,0.4354349806250002
969999751733186560,2023,1QB,12,5,0.03631027510416596,0.020918170520834334,0.4354349806250002
