league_id,season,stratum,bench,capacity,test_week,lookback,seed,signed_capture,positive_capture,negative_capture,oracle_positive,positive_capture_fraction
1180667636675596288,2025,1QB,5,15,12,5,17000.0,2.2076611620833337,3.115589604895833,-0.9079284428124992,3.5598702565624993,0.8751975157387688
1180667636675596288,2025,1QB,12,22,8,3,17000.0,1.7418869445833336,2.8341500633333325,-1.0922631187499992,4.055177073229166,0.6988967465917533
1180667636675596288,2025,1QB,12,22,8,5,17000.0,1.750558150729167,2.841306934583333,-1.0907487838541658,4.055177073229166,0.7006616192769062
1180667636675596288,2025,1QB,12,22,12,3,17000.0,2.1775467807291666,3.0661509973958325,-0.8886042166666659,4.056183591458333,0.7559201718217713
1180667636675596288,2025,1QB,12,22,12,5,17000.0,2.2040783533333332,3.1233274446874995,-0.9192490913541659,4.056183591458333,0.7700162909945009
1201959553390891008,2025,SF_1TE,5,15,8,3,17000.0,1.469033619375,2.789711032916666,-1.320677413541666,3.5550269997916657,0.7847228820147218
1201959553390891008,2025,SF_1TE,5,15,8,5,17000.0,1.4426571508333332,2.7865068089583325,-1.3438496581249995,3.5550269997916657,0.7838215600392429
1201959553390891008,2025,SF_1TE,5,15,12,3,17000.0,1.7948249759375,2.9884350907291655,-1.1936101147916658,3.593434421562499,0.8316375756844152
1201959553390891008,2025,SF_1TE,5,15,12,5,17000.0,1.8590323791666663,3.040230518958333,-1.181198139791666,3.593434421562499,0.846051482313229
1201959553390891008,2025,SF_1TE,12,22,8,3,17000.0,1.5021170544791669,2.8187992949999994,-1.3166822405208327,4.239568835937499,0.6648787657617254
1201959553390891008,2025,SF_1TE,12,22,8,5,17000.0,1.4491806223958335,2.8185837589583325,-1.3694031365624992,4.239568835937499,0.6648279266198203
1201959553390891008,2025,SF_1TE,12,22,12,3,17000.0,1.776159751770833,2.955475290624999,-1.1793155388541658,4.138710662291666,0.7141053172797802
1201959553390891008,2025,SF_1TE,12,22,12,5,17000.0,1.8316239480208332,3.0087209481249992,-1.177097000104166,4.138710662291666,0.7269705938948208
914741498980225024,2023,SF_1TE,5,16,8,3,17000.0,2.830285977291666,3.6398223277083326,-0.8095363504166659,4.225556910624999,0.8613828673224447
914741498980225024,2023,SF_1TE,5,16,8,5,17000.0,2.8171692626041662,3.6586735095833323,-0.8415042469791659,4.225556910624999,0.8658440974688425
914741498980225024,2023,SF_1TE,5,16,12,3,17000.0,2.748753391458333,3.5951680530208328,-0.8464146615624992,4.155226247499999,0.865215956696431
914741498980225024,2023,SF_1TE,5,16,12,5,17000.0,2.7467816863541668,3.614539050729166,-0.8677573643749993,4.155226247499999,0.8698777961618482
914741498980225024,2023,SF_1TE,12,23,8,3,17000.0,2.860574609375,3.671387284062499,-0.8108126746874994,4.582219204895832,0.8012247166481772
914741498980225024,2023,SF_1TE,12,23,8,5,17000.0,2.843371481770833,3.6821802194791657,-0.8388087377083325,4.582219204895832,0.8035801114763285
914741498980225024,2023,SF_1TE,12,23,12,3,17000.0,2.7766327844791667,3.6007805693749995,-0.8241477848958324,4.469673202291665,0.8056026484282627
914741498980225024,2023,SF_1TE,12,23,12,5,17000.0,2.7672280908333335,3.6165068399999996,-0.8492787491666659,4.469673202291665,0.8091210870060399
