league_id,season,stratum,roster_id,week,baseline_size,active_capacity,owned_count,capacity_eligible
969999751733186560,2023,1QB,7,4,14,24,31,False
969999751733186560,2023,1QB,8,4,17,24,28,False
969999751733186560,2023,1QB,9,4,19,24,30,False
969999751733186560,2023,1QB,10,4,19,24,32,False
969999751733186560,2023,1QB,11,4,20,24,31,False
969999751733186560,2023,1QB,12,4,16,24,29,False
969999751733186560,2023,1QB,1,5,19,24,29,False
969999751733186560,2023,1QB,2,5,18,24,27,False
969999751733186560,2023,1QB,3,5,26,24,29,False
969999751733186560,2023,1QB,4,5,18,24,27,False
969999751733186560,2023,1QB,5,5,19,24,30,False
969999751733186560,2023,1QB,6,5,20,24,29,False
969999751733186560,2023,1QB,7,5,17,24,32,False
969999751733186560,2023,1QB,8,5,18,24,28,False
969999751733186560,2023,1QB,9,5,21,24,31,False
969999751733186560,2023,1QB,10,5,21,24,32,False
969999751733186560,2023,1QB,11,5,19,24,30,False
969999751733186560,2023,1QB,12,5,16,24,29,False
969999751733186560,2023,1QB,1,6,22,24,29,False
969999751733186560,2023,1QB,2,6,20,24,28,False
969999751733186560,2023,1QB,3,6,24,24,28,False
969999751733186560,2023,1QB,4,6,18,24,26,False
969999751733186560,2023,1QB,5,6,22,24,30,False
969999751733186560,2023,1QB,6,6,21,24,29,False
969999751733186560,2023,1QB,7,6,17,24,32,False
969999751733186560,2023,1QB,8,6,18,24,28,False
969999751733186560,2023,1QB,9,6,21,24,29,False
969999751733186560,2023,1QB,10,6,19,24,31,False
969999751733186560,2023,1QB,11,6,19,24,31,False
969999751733186560,2023,1QB,12,6,16,24,29,False
969999751733186560,2023,1QB,1,7,21,24,29,False
969999751733186560,2023,1QB,2,7,21,24,28,False
969999751733186560,2023,1QB,3,7,24,24,29,False
969999751733186560,2023,1QB,4,7,17,24,26,False
969999751733186560,2023,1QB,5,7,22,24,31,False
969999751733186560,2023,1QB,6,7,22,24,29,False
969999751733186560,2023,1QB,7,7,20,24,33,False
969999751733186560,2023,1QB,8,7,18,24,28,False
969999751733186560,2023,1QB,9,7,21,24,28,False
969999751733186560,2023,1QB,10,7,22,24,32,False
969999751733186560,2023,1QB,11,7,21,24,31,False
969999751733186560,2023,1QB,12,7,17,24,29,False
969999751733186560,2023,1QB,1,8,22,24,29,False
969999751733186560,2023,1QB,2,8,20,24,28,False
969999751733186560,2023,1QB,3,8,24,24,29,False
969999751733186560,2023,1QB,4,8,16,24,26,False
969999751733186560,2023,1QB,5,8,23,24,29,False
969999751733186560,2023,1QB,6,8,23,24,30,False
969999751733186560,2023,1QB,7,8,20,24,33,False
969999751733186560,2023,1QB,8,8,18,24,28,False
969999751733186560,2023,1QB,9,8,23,24,30,False
969999751733186560,2023,1QB,10,8,24,24,32,False
969999751733186560,2023,1QB,11,8,21,24,31,False
969999751733186560,2023,1QB,12,8,17,24,28,False
969999751733186560,2023,1QB,1,9,21,24,29,False
969999751733186560,2023,1QB,2,9,19,24,28,False
969999751733186560,2023,1QB,3,9,22,24,29,False
969999751733186560,2023,1QB,4,9,15,24,25,False
969999751733186560,2023,1QB,5,9,20,24,29,False
969999751733186560,2023,1QB,6,9,22,24,30,False
969999751733186560,2023,1QB,7,9,22,24,33,False
969999751733186560,2023,1QB,8,9,18,24,28,False
969999751733186560,2023,1QB,9,9,21,24,28,False
969999751733186560,2023,1QB,10,9,22,24,32,False
969999751733186560,2023,1QB,11,9,22,24,30,False
969999751733186560,2023,1QB,12,9,17,24,29,False
969999751733186560,2023,1QB,1,10,21,24,29,False
969999751733186560,2023,1QB,2,10,20,24,28,False
969999751733186560,2023,1QB,3,10,24,24,31,False
969999751733186560,2023,1QB,4,10,16,24,25,False
969999751733186560,2023,1QB,5,10,19,24,29,False
969999751733186560,2023,1QB,6,10,21,24,30,False
969999751733186560,2023,1QB,7,10,21,24,33,False
969999751733186560,2023,1QB,8,10,19,24,28,False
969999751733186560,2023,1QB,9,10,20,24,28,False
969999751733186560,2023,1QB,10,10,24,24,32,False
969999751733186560,2023,1QB,11,10,24,24,31,False
969999751733186560,2023,1QB,12,10,19,24,29,False
969999751733186560,2023,1QB,1,11,23,24,32,False
969999751733186560,2023,1QB,2,11,18,24,27,False
969999751733186560,2023,1QB,3,11,28,24,33,False
969999751733186560,2023,1QB,4,11,18,24,25,False
969999751733186560,2023,1QB,5,11,19,24,29,False
969999751733186560,2023,1QB,6,11,18,24,27,False
969999751733186560,2023,1QB,7,11,22,24,33,False
969999751733186560,2023,1QB,8,11,21,24,28,False
